Date,ProductId,Sale Amount
01-Jan-14,1,4563
02-Jan-14,1,9877
03-Jan-14,1,11012
04-Jan-14,1,11201
05-Jan-14,1,3679
06-Jan-14,1,2971
07-Jan-14,1,13966
08-Jan-14,1,17750
09-Jan-14,1,1887
10-Jan-14,1,19710
11-Jan-14,1,2008
12-Jan-14,1,18591
13-Jan-14,1,6038
14-Jan-14,1,11588
15-Jan-14,1,5247
16-Jan-14,1,2108
17-Jan-14,1,6072
18-Jan-14,1,6925
19-Jan-14,1,22698
20-Jan-14,1,17208
21-Jan-14,1,13859
22-Jan-14,1,6116
23-Jan-14,1,2713
24-Jan-14,1,9433
25-Jan-14,1,8014
26-Jan-14,1,13920
27-Jan-14,1,13840
28-Jan-14,1,12448
29-Jan-14,1,12222
30-Jan-14,1,7648
31-Jan-14,1,14722
01-Feb-14,1,12822
02-Feb-14,1,15684
03-Feb-14,1,10316
04-Feb-14,1,10764
05-Feb-14,1,20642
06-Feb-14,1,8228
07-Feb-14,1,15815
08-Feb-14,1,9324
09-Feb-14,1,4841
10-Feb-14,1,6551
11-Feb-14,1,9230
12-Feb-14,1,22739
13-Feb-14,1,2457
14-Feb-14,1,20098
15-Feb-14,1,7321
16-Feb-14,1,6888
17-Feb-14,1,7516
18-Feb-14,1,15680
19-Feb-14,1,18523
20-Feb-14,1,12896
21-Feb-14,1,4807
22-Feb-14,1,13608
23-Feb-14,1,14795
24-Feb-14,1,8381
25-Feb-14,1,3656
26-Feb-14,1,6596
27-Feb-14,1,13109
28-Feb-14,1,15943
01-Mar-14,1,11883
02-Mar-14,1,12307
03-Mar-14,1,12694
04-Mar-14,1,20117
05-Mar-14,1,14525
06-Mar-14,1,12331
07-Mar-14,1,19247
08-Mar-14,1,16097
09-Mar-14,1,4092
10-Mar-14,1,10948
11-Mar-14,1,3128
12-Mar-14,1,8332
13-Mar-14,1,16407
14-Mar-14,1,25452
15-Mar-14,1,13524
16-Mar-14,1,26551
17-Mar-14,1,17306
18-Mar-14,1,12890
19-Mar-14,1,4595
20-Mar-14,1,9430
21-Mar-14,1,11816
22-Mar-14,1,29093
23-Mar-14,1,17399
24-Mar-14,1,26717
25-Mar-14,1,7434
26-Mar-14,1,12417
27-Mar-14,1,21500
28-Mar-14,1,22690
29-Mar-14,1,13642
30-Mar-14,1,15290
31-Mar-14,1,8610
01-Apr-14,1,13192
02-Apr-14,1,25748
03-Apr-14,1,8633
04-Apr-14,1,10005
05-Apr-14,1,13972
06-Apr-14,1,16849
07-Apr-14,1,8532
08-Apr-14,1,5596
09-Apr-14,1,15370
10-Apr-14,1,14199
11-Apr-14,1,12331
12-Apr-14,1,31408
13-Apr-14,1,6147
14-Apr-14,1,13468
15-Apr-14,1,19960
16-Apr-14,1,10274
17-Apr-14,1,12030
18-Apr-14,1,12757
19-Apr-14,1,9720
20-Apr-14,1,16435
21-Apr-14,1,6845
22-Apr-14,1,20773
23-Apr-14,1,7232
24-Apr-14,1,23281
25-Apr-14,1,11109
26-Apr-14,1,25030
27-Apr-14,1,11769
28-Apr-14,1,24106
29-Apr-14,1,31024
30-Apr-14,1,16389
01-May-14,1,21182
02-May-14,1,8394
03-May-14,1,17895
04-May-14,1,8453
05-May-14,1,26610
06-May-14,1,7205
07-May-14,1,30757
08-May-14,1,28567
09-May-14,1,12769
10-May-14,1,13371
11-May-14,1,20742
12-May-14,1,15524
13-May-14,1,7750
14-May-14,1,7437
15-May-14,1,17383
16-May-14,1,9598
17-May-14,1,28650
18-May-14,1,8181
19-May-14,1,14036
20-May-14,1,29778
21-May-14,1,21936
22-May-14,1,7388
23-May-14,1,9723
24-May-14,1,7784
25-May-14,1,37325
26-May-14,1,29724
27-May-14,1,6251
28-May-14,1,31190
29-May-14,1,9234
30-May-14,1,17167
31-May-14,1,18631
01-Jun-14,1,15355
02-Jun-14,1,5342
03-Jun-14,1,17172
04-Jun-14,1,7066
05-Jun-14,1,21805
06-Jun-14,1,14566
07-Jun-14,1,34736
08-Jun-14,1,14904
09-Jun-14,1,20448
10-Jun-14,1,20174
11-Jun-14,1,31542
12-Jun-14,1,20829
13-Jun-14,1,27101
14-Jun-14,1,18018
15-Jun-14,1,40924
16-Jun-14,1,19328
17-Jun-14,1,17004
18-Jun-14,1,10788
19-Jun-14,1,27013
20-Jun-14,1,20916
21-Jun-14,1,35220
22-Jun-14,1,23883
23-Jun-14,1,10449
24-Jun-14,1,20961
25-Jun-14,1,14453
26-Jun-14,1,13896
27-Jun-14,1,34835
28-Jun-14,1,9312
29-Jun-14,1,14335
30-Jun-14,1,25189
01-Jul-14,1,34038
02-Jul-14,1,13572
03-Jul-14,1,16062
04-Jul-14,1,36320
05-Jul-14,1,27895
06-Jul-14,1,6960
07-Jul-14,1,15035
08-Jul-14,1,17578
09-Jul-14,1,20508
10-Jul-14,1,15746
11-Jul-14,1,21503
12-Jul-14,1,13616
13-Jul-14,1,8843
14-Jul-14,1,25693
15-Jul-14,1,8522
16-Jul-14,1,9085
17-Jul-14,1,29734
18-Jul-14,1,24600
19-Jul-14,1,13661
20-Jul-14,1,28703
21-Jul-14,1,19982
22-Jul-14,1,34614
23-Jul-14,1,28161
24-Jul-14,1,15808
25-Jul-14,1,19154
26-Jul-14,1,15109
27-Jul-14,1,29237
28-Jul-14,1,33274
29-Jul-14,1,34128
30-Jul-14,1,20762
31-Jul-14,1,9461
01-Aug-14,1,28475
02-Aug-14,1,10754
03-Aug-14,1,21349
04-Aug-14,1,7061
05-Aug-14,1,31037
06-Aug-14,1,10090
07-Aug-14,1,7100
08-Aug-14,1,23706
09-Aug-14,1,42046
10-Aug-14,1,12225
11-Aug-14,1,27379
12-Aug-14,1,28539
13-Aug-14,1,38861
14-Aug-14,1,13327
15-Aug-14,1,13790
16-Aug-14,1,33130
17-Aug-14,1,24717
18-Aug-14,1,30027
19-Aug-14,1,12262
20-Aug-14,1,7501
21-Aug-14,1,12957
22-Aug-14,1,22100
23-Aug-14,1,18208
24-Aug-14,1,37639
25-Aug-14,1,35707
26-Aug-14,1,11138
27-Aug-14,1,24696
